product,description,page
ARDEX DITRA FBM,"Opis: Płynna zaprawa. Specjalny klej płynny do zastosowania w systemie z Schluter® DITRA. Elastyczny. Wodoodporny. Doskonałe właściwości łączące. Zmienna konsystencja. Układanie płyt i płytek w procesie floatingu. Układanie płyt i płytek na matach DITRA i GUTJAHR. Klejenie mat DITRA na odpowiednich podłożach. Układanie płyt z kamienia, kamienia szlachetnego, mozaiki, płyt betonowych, płyt z kamienia naturalnego odpornego na wilgoć na tarasach i balkonach, jastrychach ogrzewanych. Do stosowania: wewnątrz i na zewnątrz, podłogi. Normy: zaprawy cienkowarstwowe EN 12004 C2/E S. Proporcje mieszania: 6,5-7,5 l wody : 25 kg proszku. Gęstość nasypowa: ok. 1,3 kg/l.. Gęstość świeżej zaprawy: ok. 1,7 kg/l Zużycie materiału: przy gładkim podłożu: packa 4x4x4 mm: ok. 1,5 kg/m2; packa 6x6x6 mm: ok. 2,2 kg/m2; packa 8x8x8 mm: 3,0 kg/m2. Czas pracy (20°C): ok. 3 godz. Czas układania płytek: ok. 30 min po nałożeniu kleju. Czas korekcji: ok. 30 min. Możliwość obciążenia ruchem pieszym (20°C): fugowanie po ok. 6 godz. Przydatność w systemie ogrzewania podłogowego: tak. GISCODE: ZP1 - wyrób zawiera cement niskochromianowy. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 54205 40 24705 54205 0 40 worków",70
ARDEX X 90 OUTDOOR,"Opis: Elastyczny klej MicroTec 3. Osadzanie i układanie okładzin ceramicznych, kamienia naturalnego oraz płyt betonowych wewnątrz i na zewnątrz. Bezwykwitowa. Odporna na działanie deszczu po 2 godz. Wodoodporna, mrozoodporna, elastyczna. Szybki przyrost wytrzymałości. Łatwa w obróbce. Osadzanie i układanie płytek w basenach. Osadzanie ceramicznych okładzin na fasadach. Osadzanie i układanie płytek na jeszcze kurczących się podłożach betonowych i murowanych (mających minimum 3 miesiące). Po dodaniu plastyfikatora uzyskujemy wysokoformowalną elastyczną zaprawę klejową w klasie S2 o parametrach wodoszczelnych. Elastyczna zaprawa klejowa do układania: – płytek kamionkowych i gresowych, – mozaiki ze szkła i porcelany, – płyt betonowych, – płyt z kamieni naturalnych odpornych na wilgoć. Osadzanie: – odpowiednich płyt budowlanych, np. płyt gipsowo – kartonowych, – płyt izolacyjnych z twardej pianki, styropianu, wełny mineralnej, – kształtowanych płytek profilowanych (twarda pianka – płyty izolacyjne obustronnie pokrywane zaprawą – docieplenia). Do stosowania: wewnątrz i zewnątrz, ściany i podłogi. Normy: EN 12004 C2FTES1. Proporcje mieszania: ok. 8,5 l wody : 25 kg proszku. Gęstość nasypowa: ok. 1,1 kg/l. Ciężar świeżej zaprawy: ok. 1,6 kg/l. Zużycie materiału: przy gładkim podłożu: paca zębata 3 x 3 x 3 mm: ok. 1,1 kg/m2; paca zębata 6 x 6 x 6 mm: ok. 2,1 kg/m2; paca zębata 8 x 8 x 8 mm: ok. 2,6 kg/m2; paca zębata 10 x 10 x 10 mm: ok. 3,2 kg/m2; paca Microtec: ok. 4,6 kg/m2. Czas pracy (20°C): ok. 60 minut. Czas układania płytek: ok. 30 minut (EN1346). Czas korekcji: ok. 15 – 20 minut. Możliwość obciążania ruchem pieszym (20°C): po ok. 3 godzinach (oraz możliwość fugowania).. Możliwość fugowania na ścianach: po ok. 2 godzinach. GISCODE: ZP1 - wyrób zawiera cement niskochromianowy. GEV EMICODE: EC1 R PLUS. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 24261 40 24705 24261 5 40 worków",71
ARDEX S 28 NEU,"Opis: Elastyczny klej MicroTec do płytek wielkoformatowych. Osadzanie i układanie płytek kamionkowych i gresów, prefabrykowanych płyt betonowych oraz płyt cotto bez przebarwień, deformacji lub wykwitów. Idealnie nadaje się do układania płytek o dużych formatach oraz płyt na jastrychach anhydrytowych. Z efektem ARDURAPID® Grubość warstwy kleju 2-15 mm Po ok. 4 godzinach możliwe obciążanie ruchem pieszym. Szybkoschnący, łatwy w aplikacji. Osadzanie i układanie płytek z kamionki i kamionki szlachetnej do klejenia dużych formatów oraz cienkich płytek na podłożach wrażliwych na wilgoć, takich jak np. tynki gipsowe, gipsowo-kartonowe i płyty gipsowo-włóknowe, jak również na powierzchnie drewniane. Powierzchnie na bazie gipsu należy gruntować „P 52” mieszane w stosunku 1:3 z wodą. Układanie bez przebarwień i wykwitów płytek z kamienia naturalnego : - marmuru, - marmuru Jurajskiego, - granitu, - kwarcytu, - płyty Cotto. Do stosowania: wewnątrz, ściany i podłogi. Normy: produkt zgodny z normą eN 12004 S1 C2/FTe. Proporcje mieszania: do układania na podłogach: ok. 7,5-9 l wody : 25 kg proszku; do układania na ścianach: ok. 7-8 litrów wody : 25 kg proszku. Gęstość świeżej zaprawy: ok. 1,4 kg/l. Czas otwarty (EN 1346): ok. 30 min. (pomiar na świeżej zaprawie). Czas korekty (+20°C): ok. 30 min. Możliwość stosowanie z systemami ogrzewania podłogowego: tak gISCoDE: ZP 1 - produkt zawiera cement o niskiej zawartości chromianów. Zużycie materiału: przy gładkim podłożu: paca zębata 3x3x3 mm: ok. 1,2 kg/m2; paca zębata 6x6x6 mm: ok. 1,9 kg/m2; paca zębata 8x8x8 mm: ok. 2,4 kg/m2; paca zębata 10x10x10 mm: ok. 2,9 kg/m2; paca zębata 12x12x12 mm: ok. 3,4 kg/m2. Czas przydatności po rozrobieniu (+20°C): 75 min. Możliwość obciążania ruchem pieszym (+20°C): po ok. 4 godzinach. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25kg worek 19164 40 24705 19164 7 40 worków/paleta",72
ARDEX COLAFIX 8×8,"Opis: Elastyczna zaprawa klejowa klasy S2. Cementowa zaprawa klejowa, elastyczna i wysokoodkszatałcalna. Mrozoodporna i odporna na działanie wody. Do mocowania okładzin ceramicznych, porcelanowych i kamieni naturalnych odpornych na działanie wilgoci. Szczególnie przeznaczona do mocowania cienkich okładzin wielkoformatowych. Do stosowania: wewnątrz i zewnątrz. Normy: EN 12004 C2TES2. Proporcje mieszania: ok. 7,25- 8 l wody : 25 kg proszku. Gęstość nasypowa: ok. 1,2 kg/l. Ciężar świeżej zaprawy: ok. 1,3 kg/l. Zużycie materiału: przy gładkim podłożu: ok. 1,0 kg/m2 na 1 mm grubości warstwy; paca zębata 10x10x10mm: ok. 3,0 kg/m2; paca zębata 10x10x10mm (metoda kombinowana): ok. 3,8 kg/m2. Czas pracy (20°C): ok. 6 godzin. Czas układania płytek: ok. 40 minut (mierzone na świeżej zaprawie). Czas korekcji: ok. 45 minut. Możliwość obciążania ruchem pieszym (+20°C): po ok. 24 godzinach (oraz możliwość fugowania). Możliwość fugowania na ścianach (+20°C): po ok. 8 godzinach. GISCODE: ZP1 - wyrób zawiera cement niskochromianowy. Możliwość stosowania z systemami ogrzewania podłogowego: tak. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu.",73
ARDEX N 23,"Opis: Klej do kamienia naturalnego i płytek ceramicznych, szary MicroTec. Wykorzystuje efekt ARDURAPID®. Układanie płyt z kamienia naturalnego, z kamienia ciosanego, płytek betonowych, płytek cotto na warstwie cienko- i średniowarstwowej bez przebarwień i wykwitów. Osadzanie i układanie płytek z kamionki i kamionki szlachetnej. Osadzanie i układanie jasnych półprzeźroczystych płyt z marmuru i innych kamieni naturalnych o charakterze półprzeźroczystym. Po ok. 2 godzinach możliwe obciążanie ruchem pieszym oraz fugowanie. Grubość warstwy kleju 2–15 mm. Bardzo dobra przyczepność. Łatwy w aplikacji. Szybkie schnięcie. Dzięki technologii AMF uzyskujemy dodatkową pewność wykorzystującą wzmocnienie włóknami: - naprężenia zostają skompensowane, - wzmocniona wytrzymałość klejenia, - odkształcenia zostają zredukowane. Układanie bez przebarwień i wykwitów: – płyt z kamienia naturalnego, np. z marmuru, marmuru jurajskiego, płyt Solnhofer itp. – płyt z naturalnego kamienia ciosanego, np. z granitu, kwarcytu itp. – płyt betonowych, z aglomarmuru i płyt cotto Osadzanie i układanie płytek z kamionki i kamionki szlachetnej. Do stosowania: wewnątrz, ściany i podłogi. Proporcje mieszania: ok. 8,25-8,75 l wody : 25 kg proszku (co odpowiada ok. 1 części objętościowej wody : 2 1/2 części obj. proszku). Czas otwarty (EN 1346): ok. 30 min. (pomiar na świeżej zaprawie). Czas korekty (+ 20°C): ok. 15 min. Palność (DIN 4102): klasa E. Możliwość stosowania z systemami ogrzewania podłogowego: tak. GISCODE: ZP1 - z cementem niskochromianowym. Gęstość nasypowa: ok. 1,2 kg/l. Gęstość świeżej zaprawy: ok. 1,4 kg/l. Zużycie materiału: przy gładkim podłożu: paca zębata 3x3x3 mm: ok. 1,2 kg/m2 proszku; paca zębata 6x6x6 mm: ok. 1,9 kg/m2 proszku; paca zębata 8x8x8 mm: ok. 2,4 kg/m2 proszku; paca zębata 10x10x10 mm: ok. 2,9 kg/m2 proszku; paca zębata 12x12x12 mm: ok. 3,4 kg/m2 proszku. Czas przydatności po rozrobieniu (+20°C): ok. 45-60 min. Możliwość obciążenia ruchem pieszym (+20°C): po ok. 2 godzinach możliwe jest fugowanie Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 16770 40 24705 16771 0 40 worków 5 kg wiaderko 1316771550 40 24705 16771 0 -",74
ARDEX N 23 W,"Opis: Klej do kamienia naturalnego i płytek ceramicznych, biały MicroTec. Efekt ARDURAPID® Układanie płyt z kamienia naturalnego, z kamienia ciosanego, płytek betonowych, płytek cotto na warstwie cienko- i średniowarstwowej bez przebarwień i wykwitów. Osadzanie i układanie płytek z kamionki i kamionki szlachetnej. Osadzanie i układanie jasnych półprzeźroczystych płyt z marmuru i innych kamieni naturalnych o charakterze półprzeźroczystym. Po ok. 2 godzinach możliwe obciążanie ruchem pieszym oraz fugowanie. Grubość warstwy kleju 2–15 mm. Bardzo dobra przyczepność. Łatwy w aplikacji. Szybkie schnięcie. Osadzanie i układanie płytek z kamionki i kamionki szlachetnej. Dzięki technologii AMF uzyskujemy dodatkową pewność wykorzystującą wzmocnienie włóknami: - naprężenia zostają skompensowane, - wzmocniona wytrzymałość klejenia, - odkształcenia zostają zredukowane. Układanie bez przebarwień i wykwitów: - płyt z kamienia naturalnego, np. z marmuru, marmuru jurajskiego, płyt Solnhofer itp. - płyt z naturalnego kamienia ciosanego, np. z granitu, kwarcytu itp. - płyt betonowych, z aglomarmuru i płyt cotto. Do stosowania: wewnątrz, ściany i podłogi. Proporcje mieszania: ok. 8,25-8,75 l wody : 25 kg proszku (co odpowiada ok. 1 części objętościowej wody : 2 1/2 części obj. proszku). Czas otwarty (EN 1346): ok. 30 min. (pomiar na świeżej zaprawie). Czas korekty (+ 20°C): ok. 15 min. Palność (DIN 4102): klasa E. Możliwość stosowania z systemami ogrzewania podłogowego: tak/ GISCODE: ZP1 - zawiera cement niskochromianowy. Gęstość nasypowa: ok. 1,2 kg/l Gęstość świeżej zaprawy: ok. ok. 1,4 kg/l Zużycie materiału: przy gładkim podłożu: paca zębata 3x3x3mm: ok. 1,2 kg proszku na m2; paca zębata 6x6x6mm: ok. 1,9 kg proszku na m2; paca zębata 8x8x8mm: ok. 2,4 kg proszku na m2;; paca zębata 10x10x10mm: ok. 2,9 kg proszku na m2 paca zębata 12x12x12mm: ok. 3,4 kg proszku na m2. Czas przydatności po rozrobieniu (+20°C): ok. 45–60 min Możliwość obciążenia ruchem pieszym (+20°C): po ok. 2 godzinach, potem możliwe jest fugowanie. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta Worek 25 kg 16770 40 24705 16771 0 Paleta na 40 worków Wiaderko 5kg 1316771550 40 24705 16771 7 72 wiaderka na palecie",75
ARDEX X 30,"Opis: Zaprawa grubowarstwowa do kamienia naturalnego. Do układania niewrażliwych na wilgoć, stabilnych kamieni naturalnych i prefabrykatów betonowych na warstwie cienkiej, średniej i grubowarstwowej. Grubości warstwy kleju 5-30 mm. Po 3 godzinach możliwość obciążenia ruchem pieszym. Łatwa do aplikacji. Układanie niewrażliwych na wilgoć, stabilnych kamieni sztucznych i naturalnych oraz naturalnych płyt kamiennych takich jak kwarcyt i porfir. Produkt zgodny z normą eN 12004 C2 / e. Do stosowania: wewnątrz i zewnątrz, podłogi. Proporcje mieszania: ok. 8, 25 l wody : 25 kg proszku. Ciężar świeżej zaprawy: ok. 1,6 kg/l. Czas otwarty ( EN 1346 ): ok. 30 minut (pomiar na świeżej zaprawie). Czas korekty ( 20 ° C ): 15 minut. Możliwość stosowanie z systemami ogrzewania podłogowego: tak. GISCODE : ZP 1 - produkt zawiera cement o niskiej zawartości chromianów. Zużycie materiału: ok. 1,1 kg proszku na m2 na 1 mm grubości warstwy. paca zębata 10x10x10mm: ok. 3,8 kg/m2. Czas pracy (+20°C): 70 minut. Możliwość obciążania ruchem pieszym (+20°C): po ok. 3-4 godzinach, fugowanie po ok. 24 godzinach. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu EAN-Nr Paleta 25kg worek 16774 40 24705 16774 1 40 worków/paleta",76
ARDEX X 32,"Opis: Elastyczna zaprawa grubowarstwowa do kamienia naturalnego. Na bazie cementu, wykorzystuje efekt ARDURAPID®. Osadzanie bez tendencji do przebarwień. Do bezwykwitowego osadzania kamienia naturalnego, płytek ceramicznych oraz materiałów izolacyjnych. Osadzanie płytek ceramicznych z gresu, kamionki i kamionki szlachetnej. Po 3 godzinach możliwe obciążanie ruchem pieszym oraz fugowanie. Grubość zaprawy 3-30 mm. Szybkoschnący. Wysoka wydajność, łatwy w nakładaniu. Wyrównywanie powierzchni ścian i podłóg przed przystąpieniem do prac związanych z dalszym układaniem warstw wierzchnich. Platerowanie na jastrychach z ogrzewaniem podłogowym. Wolne od przebarwień i wykwitów układanie: - płyt i płytek z kamienia naturalnego z: marmuru, marmuru jurajskiego, granitu, kwarcytu, - płyt betonowych i aglomarmurowych, - płytek gresowych z kamionki i fajansu, kamionki szlachetnej. Do stosowania: wewnątrz i zewnątrz, ściany i podłogi. Normy: zaprawy cienkowarstwowe EN 12004 C2/FTE S1. Proporcje mieszania: na podłodze: ok. 8-8,5 l wody : 25 kg proszku; na ścianie: ok. 7,5 l wody : 25 kg proszku. Ciężar właściwy: ok. 1,1 kg/l Gęstość świeżej zaprawy: ok. 1,6 kg/l Zużycie materiału: w przypadku gładkiego podłoża: ok. 1,2 kg/m2/mm; packa 8x8x8 mm: ok. 3,3 kg/m2. Czas pracy (20°C): ok. 60 min. Czas układania płytek: ok. 20 min (po nałożeniu zaprawy). Czas korekcji: ok. 20-30 min. Możliwość obciążania ruchem pieszym/fugowania (20°C): po ok. 3 godz. od nałożenia. Przydatność w systemie ogrzewania podłogowego: tak. GISCODE: ZP 1 - produkt zawiera cement niskochromianowy. Magazynowanie: ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu, w suchym pomieszczeniu. Opakowanie Nr artykułu EAN-Nr Paleta 25 kg worek 54201 40 24705 54201 2 40 worków",77
ARDEX WA (klej),"Opis: Klej epoksydowy. Do osadzania oraz klejenia płytek ceramicznych, płyt, klinkieru, płyt wiórowych oraz mozaiki. Klej na bazie żywicy epoksydowej spełniający wymogi normy EN 12004 R 2 T. Odporny na działanie środków chemicznych, wysoce odporny na obciążenia. Osadzanie i klejenie płytek ceramicznych, płyt, klinkieru, płyt wiórowych oraz mozaiki na budowlach specjalnych, w których zaprawy wiązane cementem nie są wystarczająco odporne na obciążenia lub są zbyt mało trwałe, np. w: – rzeźniach, mleczarniach, kuchniach użyteczności publicznej, browarach, akumulatorowniach, kąpieliskach i basenach, basenach termalnych i innych obszarach szczególnie narażonych na chemiczne oraz mechaniczne obciążenia. Do stosowania: wewnątrz i zewnątrz, ściany i podłogi. Normy: EN 12004 R2/T. Gęstość świeżej zaprawy: ok. 1,5 kg/l. Zużycie materiału: do klejenia na gładkim podłożu: packa 3x3x3 mm: ok. 1,5 kg/m2; packa 6x6x6 mm: ok. 2,7 kg/m2; packa 8x8x8 mm: ok. 3,7 kg/m2. Czas pracy (20°C): ok. 80 min. Czas układania płytek: ok. 80 min. Czas korekcji: ok. 80 min. Możliwość obciążania ruchem pieszym (20°C): po wystarczającym utwardzeniu po ok. 12 godz. GISCODE: RE 1 - bez substancji rozpuszczających. Opakowanie: puszki po 3 kg pasty „WA”; puszki po 1 kg utwardzacza „WA”. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Pojemniki składować w pozycji pionowej, nie przewracać. Opakowanie Nr artykułu EAN-Nr Paleta 4 kg puszka 60401 40 24705 60401 7 96 puszek",78
ARDEX G4 BASIC 1-6,"Opis: Cementowa masa fugowa. Na bazie cementu. Do spoin o szerokości od 1 do 6 mm. Długi czas mycia. Tworzy zwartą i gładką powierzchnię fugi. dobra przyczepność do krawędzi okładzin. duża wytrzymałość. Nadaje się do ogrzewania podłogowego. Do fugowania płytek ceramicznych, płytek szklanych, nie wrażliwych na działanie wilgoci płyt z kamienia naturalnego i płyt betonowych, mozaiki szklanej, porcelanowej i ceramicznej. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 3,5 litra wody : 12,5 kg proszku. Stosunek mieszania: ok. 1 część wody : 2,7 części proszku. Gęstość nasypowa: ok. 1,3 kg/l. Gęstość świeżej zaprawy: ok. 2,1 kg/l. Zużycie materiału: szerokość spoiny 3 mm, głębokość spoiny 5 mm dla płytek ceramicznych i mozaiki: 60 x 60 cm ok. 0,10 kg /m2; 30 x 60 cm ok. 0,15 kg/m2; 30 x 30 cm ok. 0,20 kg /m2; 15 x 15 cm 0,35 kg /m2; 10 x 10 cm ok. 0,50 kg /m2; 5 x 5 cm ok. 1,00 kg /m2. Dodatkowe straty związane z nanoszeniem zbyt dużej ilości materiału, wynoszą w zależności od powierzchni płytek i sposobu aplikacji od 0,05 do 0,10 kg/m2. Twardość mierzona kulką: po 1 dniu ok. 40 N/mm2; po 3 dniach ok. 60 N/mm2; po 7 dniach ok. 80 N/mm2; po 28 dniach ok. 90 N/mm2. Przydatność w systemie ogrzewania podłogowego: tak. Czas pracy (+20°C ): 1,5 godziny. Możliwość obciążania ruchem pieszym (+20°C ): po ok. 4 godzinach. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu Kolor EAN-Nr Paleta 12,5 kg worek 19565 brylantowobiały 40 24705 19565 2 80 worków 5 kg worek 19558 brylantowobiały 40 24705 19558 4 208 worków 12,5 kg worek 19566 pergamon 40 24705 19566 9 80 worków 12,5 kg worek 19567 srebrnoszary 40 24705 19567 6 80 worków 5 kg worek 19560 srebrnoszary 40 24705 19560 7 208 worków 5 kg worek 19561 jasnoszary 40 24705 19561 208 worków 12,5 kg worek 19568 cementowoszary 40 24705 19568 3 80 worków 5 kg worek 19562 cementowoszary 40 24705 19562 1 208 worków 12,5 kg worek 19569 jaśmin 40 24705 19569 0 80 worków 12,5 kg worek 19570 bahama beż 40 24705 19570 6 80 worków",79
ARDEX G5 BASIC 2-15,"Opis: Cementowa masa fugowa. Do spoin o szerokości od 2 do 15 mm. Długi czas mycia. Tworzy zwartą i gładką powierzchnię fugi. dobra przyczepność do krawędzi okładzin. Duża wytrzymałość. Nadaje się do ogrzewania podłogowego. Do fugowania płytek ceramicznych, płytek szklanych, nie wrażliwych na działanie wilgoci płyt z kamienia naturalnego i płyt betonowych, mozaiki szklanej, porcelanowej i ceramicznej, klinkieru cegły oraz pustaków szklanych. Do stosowania: wewnątrz i zewnątrz, ściany i podłogi. Proporcje mieszania: ok. 5 litrów wody : 25 kg proszku. Stosunek mieszania: ok. 1 część wody : 3,4 części proszku. Gęstość nasypowa: ok. 1,5 kg/l. Gęstość świeżej zaprawy: ok. 2,2 kg/l. Zużycie materiału: szerokość spoiny 10 mm, głębokość spoiny 5 mm dla płytek ceramicznych i mozaiki: 60 x 60 cm ok. 0,2 kg/m2; 30 x 60 cm ok. 0,3 kg/m2; 30 x 30 cm ok. 0,5 kg/m2; 15 x 15 cm 1,00 kg/m2; 10 x 10 cm ok. 1,5 kg/m2. Dodatkowe straty związane z nanoszeniem zbyt dużej ilości materiału, wynoszą w zależności od powierzchni płytek i sposobu aplikacji od 0,05 do 0,10 kg/m2. Twardość mierzona kulką: po 1 dni ok. 60 N/mm2; po 3 dni ok. 80 N/mm2; po 7 dni ok. 100 N/mm2; po 28 dniach ok. 120 N/mm2. Przydatność w systemie ogrzewania podłogowego: tak. Czas pracy (+20°C): 1,5 godziny. Możliwość obciążania ruchem pieszym (+20°C): po ok. 5 godzinach. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu Kolor EAN-Nr Paleta 25 kg worek 19519 srebrnoszary 40 24705 19519 5 40 worków 25 kg worek 19520 szary 40 24705 19520 1 40 worków 25 kg worek 19518 cementowoszary 40 24705 19518 8 40 worków 25 kg worek 19517 bazalt 40 24705 19517 1 40 worków",80
ARDEX G6 FLEX 1-6,"Opis: Elastyczna masa fugowa. Na bazie cementu. Do spoin o szerokości od 1 do 6 mm. Elastyczna, odporna na działanie brudu i wody. Tworzy zwartą i gładką powierzchnię fugi. dobra przyczepność do krawędzi okładzin oraz duża wytrzymałość. Bez wypełniaczy kwarcowych. Z ochroną zapobiegającą powstawaniu pleśni, nadaje się do ogrzewania podłogowego i ściennego. Do fugowania płytek ceramicznych, płytek szklanych, nie wrażliwych na działanie wilgoci płyt z kamienia naturalnego i płyt betonowych, mozaiki szklanej, porcelanowej i ceramicznej. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 3,5 litra wody : 12,5 kg proszku. Stosunek mieszania: ok. 1 część wody : 3 części proszku. Gęstość nasypowa: ok. 1,2 kg/l. Gęstość świeżej zaprawy: ok. 1,8 kg/l. Zużycie materiału: szerokość spoiny 3 mm, głębokość spoiny 5 mm dla płytek ceramicznych i mozaiki: 60 x 60 cm ok. 0,10 kg /m2; 30 x 60 cm ok. 0,15 kg/m2; 30 x 30 cm ok. 0,20 kg /m2; 15 x 15 cm 0,35 kg /m2; 10 x 10 cm ok. 0,45 kg /m2; 5 x 5 cm ok. 0,90 kg /m2. Dodatkowe straty związane z nanoszeniem zbyt dużej ilości materiału, wynoszą w zależności od powierzchni płytek i sposobu aplikacji od 0,05 do 0,10 kg /m2. Twardość mierzona kulką: po 1 dniu ok. 35 N/mm2; po 3 dniach ok. 55 N/mm2; po 7 dniach ok. 65 N/mm2; po 28 dniach ok. 75 N/mm2. Przydatność w systemie ogrzewania podłogowego: tak. Czas pracy (+20°C): 1,5 godziny. Możliwość obciążania ruchem pieszym (+20°C): po ok. 4 godzinach. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu Kolor EAN-Nr Paleta 12,5 kg worek 19581 brylantowobiały 40 24705 19581 2 80 worków 5 kg worek 19571 brylantowobiały 40 24705 19571 3 208 worków 5 kg worek 19572 pergamon 40 24705 19572 0 208 worków 12,5 kg worek 19578 srebrnoszary 40 24705 19578 2 80 worków 5 kg worek 19573 srebrnoszary 40 24705 19573 7 208 worków 12,5 kg worek 19580 jasnoszary 40 24705 19580 5 80 worków 5 kg worek 19574 jasnoszary 40 24705 19574 4 208 worków 12,5 kg worek 19579 cementowoszary 40 24705 19579 9 80 worków 5 kg worek 19575 cementowoszary 40 24705 19575 1 208 worków 5 kg worek 19576 jaśmin 40 24705 19576 8 208 worków 5 kg worek 19577 bahama beż 40 24705 19577 5 208 worków",81
ARDEX G7 FLEX 2-15,"Opis: Elastyczna masa fugowa. Na bazie cementu. Do spoin o szerokości od 2 do 15 mm. Specjalnie dla ceramiki i kamionki. elastyczna, odporna na działanie brudu i wody. długi czas pracy. Dobra przyczepność do krawędzi okładzin. duża wytrzymałość. Idealna do dużych powierzchni. Z ochroną zapobiegającą powstawaniu pleśni. Nadaje się do ogrzewania podłogowego i ściennego. Do fugowania płytek ceramicznych, płytek szklanych, nie wrażliwych na działanie wilgoci płyt z kamienia naturalnego i płyt betonowych, mozaiki szklanej, porcelanowej i ceramicznej. Do stosowania: wewnątrz i zewnątrz. Proporcje mieszania: ok. 2,4 litra wody : 12,5 kg proszku. Stosunek mieszania: ok. 1 część wody : 4 części proszku. Gęstość nasypowa: ok. 1,4 kg/l. Gęstość świeżej zaprawy: ok. 2,1 kg/l. Zużycie materiału: szerokość spoiny 10 mm, głębokość spoiny 5 mm dla płytek ceramicznych: 60 x 60 cm ok. 0,3 kg/m2; 30 x 60 cm ok. 0,4 kg/m2; 30 x 30 cm ok. 0,5 kg/m2; 15 x 15 cm 1,0 kg/m2; 10 x 10 cm 1,5 kg/m2. Dodatkowe straty związane z nanoszeniem zbyt dużej ilości materiału, wynoszą w zależności od powierzchni płytek i sposobu aplikacji od 0,05 do 0,10 kg/m2. Twardość mierzona kulką: po 1 dni ok. 40 N/mm2; po 3 dni ok. 50 N/mm2; po 7 dni ok. 60 N/mm2; po 28 dniach ok. 70 N/mm2. Przydatność w systemie ogrzewania podłogowego: tak. Czas pracy (+20°C): 45 minut. Możliwość obciążania ruchem pieszym (+20°C): po upływie ok. 90 minut. Magazynowanie: w suchych pomieszczeniach ok. 12 miesięcy w oryginalnie zamkniętym opakowaniu. Opakowanie Nr artykułu Kolor EAN-Nr Paleta 12,5 kg worek 19536 srebrnoszary 40 24705 19536 2 80 worków 5 kg worek 19532 srebrnoszary 40 24705 19532 4 208 worków 12,5 kg worek 19537 szary 40 24705 19537 9 80 worków 5 kg worek 19533 szary 40 24705 19533 1 208 worków 12,5 kg worek 19539 cementowoszary 40 24705 19539 3 80 worków 5 kg worek 19534 cementowoszary 40 24705 19534 8 208 worków 12,5 kg worek 19540 bazalt 40 24705 19540 9 80 worków 5 kg worek 19535 bazalt 40 24705 19535 5 208 worków",82
